date,year,month,time,post_intervention,time_since_intervention,total_overdose_deaths,synthetic_opioid_deaths,heroin_deaths,cocaine_deaths,natural_opioid_deaths,psychostimulant_deaths
2015-01-01,2015,1,1,0,0,47523,5766,10788,5496,12269,4402
2015-02-01,2015,2,2,0,0,47725,6079,11002,5592,12237,4449
2015-03-01,2015,3,3,0,0,48198,6390,11167,5729,12267,4586
2015-04-01,2015,4,4,0,0,48748,6868,11471,5908,12356,4675
2015-05-01,2015,5,5,0,0,49293,7254,11675,5987,12474,4785
2015-06-01,2015,6,6,0,0,49691,7551,11805,6022,12555,4957
2015-07-01,2015,7,7,0,0,50301,7890,11985,6150,12574,5081
2015-08-01,2015,8,8,0,0,50834,8216,12201,6287,12649,5259
2015-09-01,2015,9,9,0,0,51575,8669,12527,6437,12707,5450
2015-10-01,2015,10,10,0,0,52114,9101,12700,6590,12773,5571
2015-11-01,2015,11,11,0,0,52386,9397,12972,6720,12737,5689
2015-12-01,2015,12,12,0,0,52623,9610,13051,6841,12747,5777
2016-01-01,2016,1,13,0,0,52902,9946,13221,6988,12729,5922
2016-02-01,2016,2,14,0,0,53834,10585,13479,7151,12878,6072
2016-03-01,2016,3,15,0,0,54781,11351,13767,7358,13052,6174
2016-04-01,2016,4,16,0,0,55763,12048,14010,7606,13266,6320
2016-05-01,2016,5,17,0,0,56465,12802,14166,7842,13356,6459
2016-06-01,2016,6,18,0,0,57428,13562,14410,8117,13528,6597
2016-07-01,2016,7,19,0,0,58525,14417,14681,8513,13698,6838
2016-08-01,2016,8,20,0,0,59417,15256,14859,8869,13830,6991
2016-09-01,2016,9,21,0,0,60147,16111,14912,9265,13926,7047
2016-10-01,2016,10,22,0,0,61062,17027,14984,9639,14072,7197
2016-11-01,2016,11,23,0,0,62340,18171,15143,10054,14269,7362
2016-12-01,2016,12,24,0,0,63938,19500,15551,10458,14534,7610
2017-01-01,2017,1,25,0,0,65571,20932,15868,10955,14728,7826
2017-02-01,2017,2,26,0,0,66189,21844,15963,11305,14784,8040
2017-03-01,2017,3,27,0,0,66858,22671,16019,11664,14805,8250
2017-04-01,2017,4,28,0,0,67493,23371,16011,12064,14865,8498
2017-05-01,2017,5,29,0,0,68370,24168,16137,12433,15002,8807
2017-06-01,2017,6,30,0,0,69153,25062,16168,12867,14970,9076
2017-07-01,2017,7,31,1,0,69504,25748,16058,13064,15003,9294
2017-08-01,2017,8,32,1,1,69988,26577,16014,13374,14935,9482
2017-09-01,2017,9,33,1,2,70599,27358,15975,13573,14922,9813
2017-10-01,2017,10,34,1,3,70690,27876,15919,13722,14809,10053
2017-11-01,2017,11,35,1,4,70723,28281,15763,13829,14706,10255
2017-12-01,2017,12,36,1,5,70699,28659,15593,14069,14559,10435
2018-01-01,2018,1,37,1,6,70122,28731,15310,14158,14435,10615
2018-02-01,2018,2,38,1,7,69745,28811,15150,14208,14250,10763
2018-03-01,2018,3,39,1,8,69364,29120,15080,14334,14043,10961
2018-04-01,2018,4,40,1,9,69042,29453,15038,14386,13793,11121
2018-05-01,2018,5,41,1,10,68789,29777,14979,14567,13585,11246
2018-06-01,2018,6,42,1,11,68714,30158,15033,14706,13508,11460
2018-07-01,2018,7,43,1,12,68728,30575,15070,14830,13296,11761
2018-08-01,2018,8,44,1,13,68714,30884,15129,14845,13168,12079
2018-09-01,2018,9,45,1,14,68421,30991,15100,14849,13010,12241
2018-10-01,2018,10,46,1,15,68404,31262,15155,14914,12873,12430
2018-11-01,2018,11,47,1,16,68102,31426,15127,14898,12693,12606
2018-12-01,2018,12,48,1,17,67850,31525,15102,14802,12620,12843
2019-01-01,2019,1,49,1,18,67697,31585,15089,14731,12455,13142
2019-02-01,2019,2,50,1,19,67631,31754,15060,14721,12331,13293
2019-03-01,2019,3,51,1,20,67727,32019,15002,14679,12270,13563
2019-04-01,2019,4,52,1,21,67736,32197,14904,14664,12177,13780
2019-05-01,2019,5,53,1,22,67795,32402,14798,14659,12073,14055
2019-06-01,2019,6,54,1,23,67787,32594,14640,14638,11958,14308
2019-07-01,2019,7,55,1,24,68023,33035,14532,14729,11929,14608
2019-08-01,2019,8,56,1,25,68371,33514,14409,14895,11876,14873
2019-09-01,2019,9,57,1,26,68757,34057,14288,15075,11860,15247
2019-10-01,2019,10,58,1,27,69371,34768,14178,15344,11874,15647
2019-11-01,2019,11,59,1,28,70357,35677,14247,15710,11978,16015
2019-12-01,2019,12,60,1,29,71130,36603,14116,16024,11941,16342
