state,state_name,date,year,month,time,post_intervention,time_since_intervention,total_overdose_deaths,synthetic_opioid_deaths,heroin_deaths,cocaine_deaths
AK,Alaska,2015-01-01,2015,1,1,0,0,126,,,
AK,Alaska,2015-02-01,2015,2,2,0,0,127,,,
AK,Alaska,2015-03-01,2015,3,3,0,0,125,,,
AK,Alaska,2015-04-01,2015,4,4,0,0,126,,,
AK,Alaska,2015-05-01,2015,5,5,0,0,125,,,
AK,Alaska,2015-06-01,2015,6,6,0,0,121,,,
AK,Alaska,2015-07-01,2015,7,7,0,0,117,,,
AK,Alaska,2015-08-01,2015,8,8,0,0,124,,,
AK,Alaska,2015-09-01,2015,9,9,0,0,125,,,
AK,Alaska,2015-10-01,2015,10,10,0,0,120,17.0,39.0,
AK,Alaska,2015-11-01,2015,11,11,0,0,115,15.0,34.0,
AK,Alaska,2015-12-01,2015,12,12,0,0,121,,,
AK,Alaska,2016-01-01,2016,1,13,0,0,126,13.0,35.0,
AK,Alaska,2016-02-01,2016,2,14,0,0,128,12.0,37.0,
AK,Alaska,2016-03-01,2016,3,15,0,0,125,12.0,38.0,
AK,Alaska,2016-04-01,2016,4,16,0,0,132,11.0,40.0,11.0
AK,Alaska,2016-05-01,2016,5,17,0,0,140,11.0,44.0,11.0
AK,Alaska,2016-06-01,2016,6,18,0,0,138,12.0,40.0,11.0
AK,Alaska,2016-07-01,2016,7,19,0,0,143,13.0,42.0,13.0
AK,Alaska,2016-08-01,2016,8,20,0,0,138,12.0,39.0,12.0
AK,Alaska,2016-09-01,2016,9,21,0,0,131,10.0,37.0,11.0
AK,Alaska,2016-10-01,2016,10,22,0,0,131,,38.0,13.0
AK,Alaska,2016-11-01,2016,11,23,0,0,133,,45.0,15.0
AK,Alaska,2016-12-01,2016,12,24,0,0,129,,49.0,15.0
AK,Alaska,2017-01-01,2017,1,25,0,0,126,10.0,50.0,15.0
AK,Alaska,2017-02-01,2017,2,26,0,0,124,11.0,49.0,18.0
AK,Alaska,2017-03-01,2017,3,27,0,0,126,11.0,47.0,19.0
AK,Alaska,2017-04-01,2017,4,28,0,0,117,12.0,43.0,16.0
AK,Alaska,2017-05-01,2017,5,29,0,0,120,21.0,40.0,18.0
AK,Alaska,2017-06-01,2017,6,30,0,0,122,24.0,42.0,20.0
AK,Alaska,2017-07-01,2017,7,31,1,0,128,27.0,44.0,20.0
AK,Alaska,2017-08-01,2017,8,32,1,1,137,29.0,46.0,21.0
AK,Alaska,2017-09-01,2017,9,33,1,2,148,32.0,46.0,22.0
AK,Alaska,2017-10-01,2017,10,34,1,3,144,33.0,46.0,20.0
AK,Alaska,2017-11-01,2017,11,35,1,4,138,33.0,38.0,17.0
AK,Alaska,2017-12-01,2017,12,36,1,5,141,37.0,36.0,18.0
AK,Alaska,2018-01-01,2018,1,37,1,6,138,38.0,36.0,16.0
AK,Alaska,2018-02-01,2018,2,38,1,7,139,38.0,37.0,14.0
AK,Alaska,2018-03-01,2018,3,39,1,8,136,38.0,35.0,13.0
AK,Alaska,2018-04-01,2018,4,40,1,9,142,38.0,36.0,15.0
AK,Alaska,2018-05-01,2018,5,41,1,10,126,27.0,33.0,12.0
AK,Alaska,2018-06-01,2018,6,42,1,11,125,24.0,31.0,10.0
AK,Alaska,2018-07-01,2018,7,43,1,12,116,22.0,26.0,
AK,Alaska,2018-08-01,2018,8,44,1,13,110,19.0,24.0,
AK,Alaska,2018-09-01,2018,9,45,1,14,100,16.0,24.0,
AK,Alaska,2018-10-01,2018,10,46,1,15,99,18.0,24.0,
AK,Alaska,2018-11-01,2018,11,47,1,16,106,19.0,28.0,10.0
AK,Alaska,2018-12-01,2018,12,48,1,17,105,16.0,28.0,10.0
AK,Alaska,2019-01-01,2019,1,49,1,18,107,14.0,27.0,10.0
AK,Alaska,2019-02-01,2019,2,50,1,19,115,16.0,31.0,11.0
AK,Alaska,2019-03-01,2019,3,51,1,20,124,20.0,35.0,12.0
AK,Alaska,2019-04-01,2019,4,52,1,21,119,19.0,35.0,10.0
AK,Alaska,2019-05-01,2019,5,53,1,22,128,20.0,37.0,12.0
AK,Alaska,2019-06-01,2019,6,54,1,23,132,20.0,40.0,12.0
AK,Alaska,2019-07-01,2019,7,55,1,24,135,19.0,43.0,13.0
AK,Alaska,2019-08-01,2019,8,56,1,25,130,20.0,43.0,12.0
AK,Alaska,2019-09-01,2019,9,57,1,26,136,24.0,44.0,12.0
AK,Alaska,2019-10-01,2019,10,58,1,27,146,27.0,49.0,12.0
AK,Alaska,2019-11-01,2019,11,59,1,28,139,25.0,47.0,
